SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
Doralia1;14:cc:20:b8:82:20;WPA-PSK;2412;WPS;;71
Doralia;f8:d1:11:55:5e:d8;WPA-PSK;2412;WPS;;26
Alessandra_Int;c4:e9:84:bd:71:1e;WPA-PSK;2427;WPS;;22
meninas;f0:7d:68:db:c5:ed;WEP;2437;;;24
Adinam;1c:7e:e5:d6:1d:20;WPA-PSK;2437;WPS;;40
Thiago;b2:dc:fa:45:e6:35;WPA-PSK;2462;WPS;;20
Santa Maria;b2:ac:6c:26:08:4a;WPA-PSK;2462;WPS;;17
Debora_Int;30:b5:c2:ce:28:e4;WPA-PSK;2422;WPS;;33
Diego_Internet;00:0e:f4:e5:5d:f9;WPA-PSK;2437;WPS;;31
SINUELO;ac:f1:df:eb:f5:32;WPA-PSK;2412;WPS;;35
Ramoni;c4:e9:84:af:0a:04;WPA-PSK;2457;WPS;;26
SITMSTGO_Int;a0:f3:c1:9b:09:1c;WPA-PSK;2412;WPS;;35
SITMSTGO_Cliente;c4:e9:84:42:2a:fc;WPA-PSK;2437;WPS;;31
Paulo Noal;30:b5:c2:4d:4b:ec;WPA-PSK;2437;WPS;;28
Ciro;94:0c:6d:b1:44:26;WPA-PSK;2472;;;37
CASSOL;c4:6e:1f:08:3d:7a;WPA-PSK;2417;WPS;;26
wireom9-p2h;00:0c:42:6d:1b:d1;WEP;2452;;;37
wireom9-p1h;00:0c:42:6b:89:9d;WEP;2437;;;33
CASANET;00:1a:ef:3f:b9:4a;WPA-PSK;2412;WPS;;26
Fernando;54:b8:0a:92:74:d8;WPA-PSK;2412;;;28
AnaCarolina;e8:de:27:41:8c:cf;WPA-PSK;2412;WPS;;17
Edgar e Maria Helena;a8:a6:68:fd:bd:68;WPA-PSK;2462;;;24
Gaucho;e8:de:27:3d:de:1d;WPA-PSK;2462;WPS;;20
ione;14:d6:4d:f7:51:0d;WPA-PSK;2437;;;24
Eulalia_int;00:1a:ef:14:26:d5;WPA-PSK;2462;WPS;;44
Gurizada;c4:e9:84:4d:04:44;WPA-PSK;2462;WPS;;22
Marcos_Int;64:70:02:66:17:00;WPA-PSK;2427;WPS;;20
InspetoriaCREA;00:26:5a:67:23:14;WPA-PSK;2437;;;40
jteletronicos;e2:f3:18:67:88:8b;WPA-PSK;2457;WPS;;31
MAIRA;c4:e9:84:ac:69:92;WPA-PSK;2417;WPS;;20
streer_int;14:cc:20:9c:77:0c;WPA-PSK;2437;WPS;;26
Ronqui;1c:7e:e5:c3:81:a8;WPA-PSK;2437;;;24
Guasso_Miscelanea;f8:d1:11:3e:5a:fe;WPA-PSK;2437;;;37
Parceria Informatica;c2:9f:db:9d:6c:9d;WPA-PSK;2462;;;26
MECANICA CADAVAL;b2:ec:68:92:64:38;WPA-PSK;2412;WPS;;37
COLPO;c4:12:f5:c3:b5:8c;WPA-PSK;2417;WPS;;53
Bete;c8:3a:35:1a:88:a8;WPA-PSK;2462;;;26
wireom9-p4h;00:0c:42:6b:89:a1;WEP;2442;;;37
GABRIELE;00:17:d0:7c:eb:21;WPA-PSK;2437;;;22
Regina;00:1a:3f:21:aa:5c;WPA-PSK;2417;;;17
Elizabete_residencia;e8:de:27:ab:82:78;WPA-PSK;2432;WPS;;37
cassio;00:22:b0:98:a0:ec;WEP;2437;;;26
Carlinhos_Int;d8:5d:4c:f3:05:40;WPA-PSK;2432;WPS;;51
Cristian_Wifi;00:1a:3f:28:b2:e1;WPA-PSK;2417;;;28
marcelo;ce:88:28:87:4a:27;WPA-PSK;2452;WPS;;26
Wm;00:21:8d:36:10:36;WPA-PSK;2462;;;31
Cavalo;c4:e9:84:a6:fd:30;WPA-PSK;2427;WPS;;24
Secretaria;e4:8d:8c:40:0f:59;WPA-PSK;2412;;;28
Professores;e4:8d:8c:e8:55:0a;WPA-PSK;2412;;;28
Menalisa;b0:48:7a:a4:54:c2;WPA-PSK;2437;;;60
ap-gaviole;00:1a:3f:a0:df:e4;WPA-PSK;2462;;;26
fontoura.com;00:13:10:32:ef:71;WPA-PSK;2412;;;44
GAVIOLE;b2:81:63:69:c9:ac;WPA-PSK;2412;WPS;;33
sanwirep1h;00:0c:42:69:05:2b;WEP;2457;;;46
FABIO;00:1a:3f:9e:7d:62;WPA-PSK;2412;WPS;;26
Alvenir;fc:75:16:42:ee:04;WPA-PSK;2437;WPS;;44
Juliano;c4:6e:1f:6d:90:5a;WPA-PSK;2417;WPS;;33
Marlize;00:1a:3f:a4:d9:2e;WPA-PSK;2462;WPS;;22
Alice_Int;c0:4a:00:36:0c:2a;WPA-PSK;2432;WPS;;55
ADCogo;c4:6e:1f:ce:eb:fa;WPA-PSK;2412;WPS;;44
wireom2-p2;00:02:6f:52:96:51;WEP;2447;;;44
LUIS_FELIPE;00:1a:3f:bc:5c:24;WPA-PSK;2462;;;37
Rubiane;58:10:8c:ae:17:1c;WPA-PSK;2462;;;24
Correia;e8:94:f6:f6:69:fe;WPA-PSK;2457;WPS;;26
Rogerio;c8:3a:35:45:2b:e8;WPA-PSK;2437;;;53
StgoNet_PP;f8:d1:11:91:26:c6;WPA-PSK;2432;WPS;;35
Multilaser_WS02;c8:3a:35:48:df:28;WPA-PSK;2437;;;35
Wir_Neisa;00:25:86:c3:a1:ca;WPA-PSK;2412;;;26
SG2-L;4c:5e:0c:cc:34:6b;WPA-PSK;2437;;;66
ASarquitetura;14:cc:20:e0:88:2b;WPA-PSK;2452;WPS;;44
wireom1p2;00:0c:42:6d:1b:cd;WEP;2437;;;28
Andressa;fe:7a:35:a9:77:72;WPA-PSK;2432;WPS;;28
Julio.Barcelos ;a0:f3:c1:31:4d:e2;WPA-PSK;2427;WPS;;24
Maiara;00:1a:3f:bc:db:bc;WPA-PSK;2412;;;51
Peixoto;14:d6:4d:f7:e0:c3;WPA-PSK;2462;;;24
Naires;64:66:b3:f5:de:b4;WPA-PSK;2422;WPS;;28
BETUS;14:cc:20:f1:b4:de;WPA-PSK;2462;WPS;;26
