SSID;BSSID;Security;Frequency;Capabilities;Sinal Strength;Rel Signal Strength
Oi WiFi Fon;58:23:8c:4f:4a:cf;;2412;;;44
silvana;c4:e9:84:a7:83:14;WPA-PSK;2437;WPS;;51
Paulo;04:8d:38:89:7d:b0;WPA-PSK;2417;WPS;;28
Batcaverna_Int;00:1a:3f:dc:37:38;WPA-PSK;2422;WPS;;40
Fabi;74:ea:3a:ac:14:38;WPA-PSK;2412;WPS;;28
Marga;00:02:72:76:30:e3;WPA-PSK;2462;;;24
Nany;c8:3a:35:32:a2:30;WPA-PSK;2437;;;28
ROSE;c4:e9:84:a8:da:c4;WPA-PSK;2442;WPS;;64
Oi WiFi Fon;5a:91:f9:a1:e8:f0;;2462;;;26
routint;00:1a:3f:73:95:2f;WPA-PSK;2442;;;46
TP-LINK_9C8702;f8:1a:67:9c:87:02;WPA-PSK;2442;WPS;;55
Lucas ;c8:91:f9:a1:e8:f3;WPA-PSK;2462;WPS;;51
Luis e Jessica;b0:c5:54:b3:c5:54;WPA-PSK;2412;;;22
Livian_Int;d8:5d:4c:f3:0c:dc;WPA-PSK;2422;WPS;;40
maximus;64:66:b3:5b:f5:92;WPA-PSK;2437;WPS;;35
Multilaser_4AF498;c8:3a:35:4a:f4:98;WPA-PSK;2462;;;26
Silvestre_Int;00:1a:3f:6a:d2:f0;WPA-PSK;2472;;;26
FISIOFAZ - WiFi;f4:ec:38:ba:69:de;WPA-PSK;2437;WPS;;44
Diego;00:1a:3f:28:98:41;WPA-PSK;2462;;;22
PAULO;e8:94:f6:4d:e1:8d;WPA-PSK;2412;WPS;;28
QUERNAVEGARCOMPRAUMBARCO;00:1a:3f:9f:dd:30;WPA-PSK;2462;WPS;;31
Oi WiFi Fon;b0:c2:87:a8:da:24;;2427;;;24
Grafisul;b2:78:f7:01:ab:7f;WPA-PSK;2427;WPS;;24
carlos_EXT;30:b5:c2:b8:10:53;WPA-PSK;2422;WPS;;26
EUNICE;d0:84:b0:95:a9:90;WPA-PSK;2462;WPS;;26
Oi WiFi Fon;5a:84:b0:95:a9:91;;2462;;;28
Raquel;82:bd:2c:6d:a7:ca;WPA-PSK;2412;WPS;;26
carlos;5a:79:cf:16:f2:75;WPA-PSK;2422;WPS;;22
Grafisul_EXT;f4:f2:6d:5d:35:40;WPA-PSK;2427;;;33
Oi WiFi Fon;58:23:8c:dc:28:16;;2422;;;26
Binho;60:e3:27:e0:2e:b5;WPA-PSK;2462;WPS;;28
Catarina;54:e6:fc:a6:7f:c4;WPA-PSK;2412;WPS;;40
Mayara;c4:e9:84:49:5a:da;WPA-PSK;2437;WPS;;24
Catarina;14:cc:20:84:25:05;WPA-PSK;2412;WPS;;26
rednalac.exe;58:10:8c:bd:4f:3a;WPA-PSK;2462;;;26
Roger Gorski Cado;a0:f3:c1:4f:95:f6;WPA-PSK;2437;WPS;;26
Mcaffevirus_wifi;00:1a:3f:23:75:3c;WPA-PSK;2462;WPS;;20
BOTO;82:fd:12:58:94:03;WPA-PSK;2417;WPS;;24
Binho;e8:de:27:81:0f:d4;WPA-PSK;2462;WPS;;40
Oi WiFi Fon;80:29:94:2d:6d:80;;2417;;;33
Oi WiFi Fon;b0:c2:87:a8:ca:ea;;2412;;;28
Oi_Velox_WiFi_CAE9;b2:ed:88:39:ae:73;WPA-PSK;2412;WPS;;31
CGM;00:11:6b:43:b5:d8;WPA-PSK;2412;;;28
Arlindo_Int;c4:6e:1f:80:51:d8;WPA-PSK;2437;WPS;;28
VERA;00:1a:3f:a5:36:9a;WPA-PSK;2437;WPS;;35
Taiane;a0:f3:c1:b3:f1:a4;WPA-PSK;2412;WPS;;20
Amarante;c8:3a:35:15:15:d0;WPA-PSK;2432;;;28
NS2-ZAM;d4:ca:6d:bf:67:89;WPA-PSK;2447;;;33
TPLINK-262;14:cc:20:82:2a:e2;WPA-PSK;2412;WPS;;22
Oi WiFi Fon;b0:c2:87:a8:88:b8;;2412;;;20
Emerson_Int;c8:be:19:b8:c0:2a;WPA-PSK;2462;WPS;;22
Caroline_Int;30:b5:c2:61:94:aa;WPA-PSK;2412;WPS;;33
Girelli;14:cc:20:82:59:7c;WPA-PSK;2412;WPS;;42
CASSIO;c4:e9:84:ae:f8:02;WPA-PSK;2457;WPS;;35
Michele S. Borges;b2:e8:f4:87:7e:24;WPA-PSK;2412;WPS;;33
Leandro_Int;64:66:b3:c1:be:3e;WPA-PSK;2427;WPS;;24
dlink;1c:af:f7:55:8f:10;;2437;;;22
Andreia;00:1a:3f:d3:be:86;WPA-PSK;2412;WPS;;22
Leandro_INT;30:b5:c2:de:47:4e;WPA-PSK;2422;WPS;;20
Casa;00:1a:ef:3a:97:e2;WPA-PSK;2462;WPS;;37
AP-Julio;c4:e9:84:a6:e3:5e;WPA-PSK;2432;WPS;;37
Leri;00:18:e7:9a:b4:0a;WPA-PSK;2457;;;26
Oi WiFi Fon;e0:88:5d:01:a0:c3;;2412;;;42
GIJO;e2:01:4b:dd:76:da;WPA-PSK;2412;WPS;;55
Oi WiFi Fon;00:18:e7:9a:b4:0b;;2457;;;33
Soraia_int;00:1a:3f:a0:de:42;WPA-PSK;2417;;;40
Leri;e8:ab:fa:10:73:8e;WPA-PSK;2457;WPS;;20
INTELBRAS;00:1a:3f:91:7e:0a;WPA-PSK;2462;;;24
Escritorio_nicola;c4:e9:84:bd:88:fe;WPA-PSK;2442;WPS;;31
vanessaoi;d0:84:b0:a2:92:76;WPA-PSK;2412;WPS;;24
Eduarda;1c:af:f7:5c:d3:f8;WPA-PSK;2432;;;22
Casa_Nicola;e8:94:f6:d8:7c:8c;WPA-PSK;2442;;;22
DudaNic;14:cc:20:3a:d0:e2;WPA-PSK;2412;WPS;;33
Greatek;78:44:76:69:e2:24;WPA-PSK;2462;;;40
ITA;90:f6:52:a6:25:f0;WPA-PSK;2437;WPS;;26
gabriel;20:aa:4b:25:4d:f3;WPA-PSK;2437;WPS;;46
gabriel-convidado;20:aa:4b:25:4d:f5;;2437;;;46
Augusto;f4:ec:38:d2:56:ac;WPA-PSK;2412;WPS;;24
Oi WiFi Fon;b0:c2:87:a8:dc:f8;;2412;;;26
VANTI;e8:de:27:66:30:60;WPA-PSK;2457;WPS;;46
Thalita;c4:e9:84:42:01:cc;WPA-PSK;2437;WPS;;35
Cristiano;c4:e9:84:b8:89:48;WPA-PSK;2417;WPS;;33
MARENCO;64:66:b3:63:23:86;WPA-PSK;2412;WPS;;46
Carlos_Brum;30:b5:c2:bc:65:e0;WPA-PSK;2412;WPS;;26
TP-LINK_3EFDA4;30:b5:c2:3e:fd:a4;WPA-PSK;2462;WPS;;26
Joao batista;e2:a7:6b:6b:21:51;WPA-PSK;2457;WPS;;26
Oi WiFi Fon;e0:88:5d:fb:0f:6c;;2457;;;26
Magyork;00:1a:3f:b7:f2:b2;WPA-PSK;2437;;;26
deomar_int;d8:5d:4c:e2:eb:36;WPA-PSK;2412;WPS;;33
Giov_Wir;00:1c:f0:a8:2d:e0;WEP;2432;;;22
HP-Print-FA-LaserJet 1102;34:68:95:dd:46:fa;;2437;;;26
wir_thones;c8:3a:35:31:10:d0;WPA-PSK;2457;;;26
Castilho;b2:e5:10:87:7a:34;WPA-PSK;2447;WPS;;33
TP-LINK;f0:7d:68:dd:bf:f4;WEP;2437;;;24
Castilho01;30:b5:c2:0c:78:dc;WEP;2447;WPS;;31
Oi WiFi Fon;b0:c2:87:a8:da:be;;2447;;;53
Bruna Salbego;b0:c5:54:b3:ca:c0;WPA-PSK;2412;;;62
MiguelPubli;f8:1a:67:c2:b5:ee;WPA-PSK;2437;WPS;;33
Dona Caira;ec:22:80:a2:2a:e6;WPA-PSK;2412;;;33
Cesar_Int;c8:3a:35:2d:df:78;WPA-PSK;2437;;;28
pedropacheco;f4:ec:38:a4:29:82;WPA-PSK;2452;WPS;;22
V for Vendetta;64:66:b3:af:83:5e;WPA-PSK;2437;WPS;;28
REDE_WILLIG;00:1a:3f:2e:90:ec;WPA-PSK;2412;;;33
REDE_WILLIG;90:f6:52:d8:4c:52;WPA-PSK;2412;WPS;;24
Paulo;00:0e:f4:d6:f8:99;WPA-PSK;2437;;;22
Danielen;8c:10:d4:20:d6:a9;WPA-PSK;2462;WPS;;20
Amanda_Int03;c4:e9:84:c5:cf:ec;WPA-PSK;2452;WPS;;24
Viero2_Int;c4:e9:84:c5:ce:b8;WPA-PSK;2427;WPS;;48
Eloi;84:c9:b2:e1:56:92;WPA-PSK;2412;WPS;;33
valdir;90:8d:78:61:57:f0;WPA-PSK;2452;WPS;;48
Amanda_Int;64:66:b3:c1:c2:e2;WPA-PSK;2417;WPS;;28
Naura;00:1a:3f:28:b2:a9;WPA-PSK;2417;;;26
Oi WiFi Fon;62:e9:dd:a8:fb:6d;;2412;;;28
Daniel's;64:66:b3:ed:07:6c;WPA-PSK;2412;WPS;;22
LUIZ;44:e9:dd:a8:fb:6c;WPA-PSK;2412;WPS;;26
Marcieli;00:1a:3f:b8:01:5e;WPA-PSK;2417;;;26
Oi WiFi Fon;e0:88:5d:02:d1:53;;2462;;;24
Erik_Int;f8:1a:67:8a:69:4a;WPA-PSK;2427;WPS;;28
Clinica_Delas;64:70:02:6c:fb:fc;WPA-PSK;2422;WPS;;31
Miliko;14:cc:20:f2:fe:66;WPA-PSK;2412;WPS;;40
PINHEIRO;f4:ec:38:b1:93:0a;WPA-PSK;2432;WPS;;26
Santiago 01;00:25:86:ca:45:74;WPA-PSK;2462;;;33
VERA;e8:de:27:ab:2c:a6;WPA-PSK;2412;WPS;;22
COMPORTADO;54:e6:fc:da:30:74;WPA-PSK;2437;WPS;;62
Nicola3_Int;90:f6:52:c2:e1:ce;WPA-PSK;2437;WPS;;33
default;00:19:5b:46:50:a3;WPA-PSK;2437;;;42
JairoCezar;00:1a:3f:26:bd:4b;WPA-PSK;2417;;;26
CAIS;c8:3a:35:07:f3:58;WPA-PSK;2462;;;26
Oi WiFi Fon;58:23:8c:98:9a:31;;2412;;;26
CAIS;80:3f:5d:93:da:27;WPA-PSK;2462;;;40
Cube;e8:94:f6:95:fc:c8;WPA-PSK;2437;WPS;;44
DIRECT-9p[HTS];32:14:4a:79:8c:27;WPA-PSK;2462;WPS;;28
CIRINO;94:0c:6d:a9:fe:0e;WEP;2462;;;28
Nicola_int;e8:de:27:80:af:d0;WPA-PSK;2427;WPS;;31
clinica_Int;c4:6e:1f:3c:6e:aa;WPA-PSK;2432;WPS;;26
Oi WiFi Fon;80:29:94:2d:39:cc;;2457;;;22
Tanararpozo;5a:49:25:75:b3:8e;WPA-PSK;2412;WPS;;26
AGT-WIRELESS02;a0:f3:c1:c1:ff:0a;WPA-PSK;2462;;;33
WIR_CLINICA;00:1d:1a:09:ad:96;WPA-PSK;2427;WPS;;24
CubeArquitetura;82:e7:7d:fc:34:0e;WPA-PSK;2457;WPS;;55
LISIANE_INT;c4:6e:1f:e5:59:6e;WPA-PSK;2432;WPS;;20
ATALIBA;00:1a:3f:50:4b:bc;WPA-PSK;2462;;;28
AGT-WIRELESS03;f4:ec:38:ce:06:b2;WEP;2442;WPS;;28
Oi WiFi Fon;72:91:f9:d9:a2:5c;;2452;;;28
TI_FELICE;c8:91:f9:d9:a2:5f;WPA-PSK;2452;WPS;;26
AGT-WIRELESS01;14:cc:20:7b:c4:86;WPA-PSK;2452;WPS;;40
Mario_Int;d8:5d:4c:f2:e9:4e;WPA-PSK;2442;WPS;;44
Wi-Fi;80:3f:5d:95:75:a7;WPA-PSK;2422;;;24
Ronaldo;c8:3a:35:09:47:e8;WPA-PSK;2412;;;22
BediNetCasa;74:ea:3a:b1:e2:c0;WPA-PSK;2412;WPS;;40
Panda;00:1c:f0:3d:8b:20;WEP;2437;;;26
TAMIOSSO;f8:d1:11:3e:5f:36;WPA-PSK;2412;;;24
maninho mantovani;00:1a:3f:68:cb:98;WPA-PSK;2462;;;26
TAMIOSSO;c4:e9:84:9e:75:b1;WPA-PSK;2412;WPS;;28
HPJ610a.C380BD;02:28:98:27:f9:26;;2437;;;26
Enzo;c4:e9:84:d0:fd:c4;WPA-PSK;2462;WPS;;28
Joao Rios;e8:94:f6:d8:0f:70;;2437;WPS;;44
Munir_Int;64:66:b3:c1:be:20;WPA-PSK;2432;WPS;;31
Girasol_Int;f0:7d:68:e5:a4:86;WPA-PSK;2437;;;37
C3Tech;00:1a:ef:3d:29:38;WPA-PSK;2412;WPS;;40
Marlon;c4:6e:1f:f4:00:c6;WPA-PSK;2437;WPS;;68
BediNet_Loja;00:4f:62:03:5d:f6;;2422;;;40
Expresso2;c4:e9:84:bd:92:5e;WPA-PSK;2422;WPS;;35
Catharina;c4:6e:1f:df:a7:ac;WPA-PSK;2452;WPS;;31
Lucimara;c8:3a:35:09:55:58;WPA-PSK;2457;;;46
Marcos;00:1a:3f:28:b2:e9;WPA-PSK;2417;;;28
Gabriel;c4:e9:84:41:c5:f8;WPA-PSK;2412;WPS;;20
Max-int;00:1a:3f:56:df:44;WPA-PSK;2422;;;35
Fernando;c4:6e:1f:72:be:44;WPA-PSK;2417;WPS;;24
Mima;e8:de:27:cf:0e:50;WPA-PSK;2412;WPS;;48
Lucio;00:1a:3f:94:c9:2c;WPA-PSK;2462;;;33
JULIANO;14:cc:20:da:25:87;WPA-PSK;2462;WPS;;31
Ruderson1;90:f6:52:66:77:78;WPA-PSK;2412;WPS;;26
Neiva_Int;8c:04:ff:bc:e1:a3;WPA-PSK;2412;;;37
SAGRILLO;c4:6e:1f:b5:bc:42;WEP;2462;WPS;;22
Jacimara;1c:bd:b9:ca:1e:27;WPA-PSK;2437;;;26
gremio;3c:1e:04:77:2e:94;WPA-PSK;2412;WPS;;40
Ledir;00:1a:3f:b8:01:2e;WPA-PSK;2412;;;28
Ruderson1;10:fe:ed:8e:53:90;WPA-PSK;2412;WPS;;40
Lizandro;00:1a:3f:c7:72:b4;WPA-PSK;2422;;;37
Bochi-wifi;30:b5:c2:cc:24:c6;WPA-PSK;2437;WPS;;37
Guilherme;30:b5:c2:23:b3:4a;WPA-PSK;2412;WPS;;15
DIRECT-GTC460 Series;32:cd:a7:cb:b7:63;WPA-PSK;2457;WPS;;37
Oi WiFi Fon;fc:52:8d:b6:82:4a;;2457;;;44
Jose_Nunes;30:b5:c2:24:22:34;WPA-PSK;2412;WPS;;37
Maneck;14:cc:20:b7:7a:fa;WPA-PSK;2417;WPS;;40
Marion_Palmeiro;c4:e9:84:55:fb:06;WPA-PSK;2412;WPS;;26
Karine Maronez ;30:b5:c2:d5:46:16;WPA-PSK;2432;WPS;;44
ligia;b2:45:08:4d:69:37;WPA-PSK;2452;WPS;;31
arlindo;fe:a1:c0:23:7e:cf;WPA-PSK;2457;WPS;;26
kubica_EXT;e8:de:27:3d:99:81;WPA-PSK;2437;WPS;;33
Rodrigo_Int;1c:bd:b9:f9:04:5b;WPA-PSK;2437;;;28
MATHEUS;00:0e:f4:e7:af:00;WPA-PSK;2462;;;26
Oi WiFi Fon;72:64:d9:ae:ca:5d;;2462;;;40
Varcari;54:e6:fc:d3:f9:b1;WPA-PSK;2417;WPS;;44
bernardo;54:64:d9:ae:ca:5c;WPA-PSK;2462;;;33
vandag;8c:10:d4:c4:e6:03;WPA-PSK;2437;;;44
josemar;64:66:b3:65:91:e0;WPA-PSK;2417;WPS;;26
Oi WiFi Fon;62:10:d4:c4:e6:00;;2437;;;35
kubica;e8:de:27:63:8d:48;WPA-PSK;2437;WPS;;42
Oi WiFi Fon;b0:c2:87:a8:cb:24;;2452;;;35
Brum;f0:7d:68:e3:06:2c;WPA-PSK;2437;;;42
Padaria;00:0e:f4:e3:d8:5a;WPA-PSK;2437;;;53
Elis;00:1a:3f:7d:c8:18;WPA-PSK;2452;;;22
Ozzy;c4:6e:1f:6d:93:b0;WPA-PSK;2417;WPS;;24
BR Center 1;e8:94:f6:bd:49:ec;WPA-PSK;2412;WPS;;53
Apto_204;78:54:2e:a7:d7:18;WPA-PSK;2462;WPS;;20
SIGMA_BediNet;00:1d:2b:fe:46:c1;WPA-PSK;2412;WPS;;28
Oi WiFi Fon;58:23:8c:dc:27:3e;;2412;;;31
Graciele_Int;90:f6:52:c2:e9:86;WPA-PSK;2422;WPS;;44
Claro Internet;78:e8:b6:7f:bb:9b;WPA-PSK;2462;;;35
AcessPointSala;64:66:b3:ed:53:c0;WPA-PSK;2462;WPS;;33
Oi WiFi Fon;fc:52:8d:5b:0a:19;;2412;;;24
Oi WiFi Fon;b0:c2:87:a8:da:cc;;2412;;;33
Iana;30:b5:c2:cc:54:e0;WPA-PSK;2412;WPS;;33
Ricardo;14:cc:20:c3:bc:80;WPA-PSK;2427;WPS;;33
Jefersonc;b2:47:9a:fc:27:c6;WPA-PSK;2412;WPS;;46
kickow;fe:d4:e5:94:96:22;WPA-PSK;2412;WPS;;46
Madalosso;00:1a:3f:68:bf:d6;WPA-PSK;2462;;;28
Gmadalosso;c4:e9:84:4d:04:7a;WPA-PSK;2412;WPS;;26
TP-LINK4;c4:e9:84:d4:e0:08;WPA-PSK;2422;WPS;;22
Cassiano;14:cc:20:e9:24:71;WPA-PSK;2462;WPS;;20
ALFAMIL;c4:6e:1f:f4:36:1a;WPA-PSK;2412;WPS;;28
HP84B6E8;02:26:96:a3:ad:9d;;2457;;;24
Excellence_Radio;30:b5:c2:de:2e:a0;WPA-PSK;2417;WPS;;26
Oi WiFi Fon;5a:e9:dd:a8:ab:fa;;2462;;;33
COLPO2;8a:85:1a:df:f0:e3;WPA-PSK;2412;WPS;;22
rossano;44:e9:dd:a8:ab:f9;WPA-PSK;2462;WPS;;24
Madalosso_Int;c8:60:00:e7:31:d0;WPA-PSK;2432;;;26
casa das embalagens_int;90:f6:52:b5:9f:06;WPA-PSK;2432;WPS;;33
Costa_Fiber;00:1d:2b:fe:61:b1;WPA-PSK;2412;WPS;;26
Oi WiFi Fon;88:f7:c7:b2:75:92;;2412;;;20
Fabio a net eh minha!!!!;bc:ae:c5:88:bd:54;WPA-PSK;2452;;;51
LOPES_PEIXOTO;00:1d:2b:fb:aa:91;WPA-PSK;2412;WPS;;26
Duarte;6c:72:20:5e:61:6b;WPA-PSK;2462;WPS;;26
Roni_Int;58:10:8c:b1:84:c6;WPA-PSK;2452;;;33
Centro Empresarial - WiFi;c4:6e:1f:df:e0:6c;WPA-PSK;2432;WPS;;28
ADVOCACIA;30:b5:c2:a0:e9:1e;WPA-PSK;2462;WPS;;26
Belochio_Int;c4:e9:84:b8:55:d2;WPA-PSK;2432;WPS;;40
MINOZZO ENGENHARIA;fc:c8:97:7f:48:90;WPA-PSK;2472;;;53
MINOZZO_ENGENHARIA;00:17:9a:25:31:92;WPA-PSK;2437;;;28
Matheus;c4:e9:84:79:f3:e4;WPA-PSK;2437;WPS;;31
Sebrae_Visitantes;12:09:0f:7d:cb:79;WPA-PSK;2412;;;24
Sebrae_Corporativo;00:09:0f:7d:cb:79;WPA-PSK;2412;;;22
CES - Auditorio;c4:6e:1f:df:df:a6;WPA-PSK;2447;WPS;;28
Everton;c8:3a:35:2c:22:38;WPA-PSK;2447;;;31
SEBRAE;68:1a:b2:61:5e:4c;WPA-PSK;2472;;;24
Froilam;74:ea:3a:c6:38:fc;WPA-PSK;2447;WPS;;33
SFesta_int;78:44:76:02:7c:b3;WEP;2462;;;20
Oi WiFi Fon;00:18:e7:9d:9d:3a;;2457;;;26
Mariza Perufo;90:f6:52:d1:d4:8e;WPA-PSK;2412;WPS;;20
Cia das Frutas;64:66:b3:65:84:92;WPA-PSK;2412;WPS;;31
valdiradvocacia;e8:94:f6:d8:03:b4;WPA-PSK;2412;WPS;;20
401;00:15:e9:07:53:de;WPA-PSK;2437;;;26
dlink;f0:7d:68:df:b5:76;WEP;2437;;;37
HP-Print-B9-Deskjet 2540 series;9c:b6:54:dc:88:b9;WPA-PSK;2437;;;22
Evanderson_Int;c8:3a:35:31:cf:d8;WPA-PSK;2432;;;28
RJR ADVOGADOS;00:18:e7:9d:9d:39;WPA-PSK;2457;;;51
Elite;e8:94:f6:c2:db:e2;WPA-PSK;2412;WPS;;28
Zelir_Int;1c:7e:e5:bc:cb:84;WPA-PSK;2422;;;28
IMPERIO DAS CHAVES;82:d8:5b:d6:2f:f2;WPA-PSK;2412;WPS;;31
Minozzo__Informatica;64:66:b3:8f:51:78;WPA-PSK;2412;WPS;;26
Clarissa Trentim;c0:4a:00:5c:93:50;WPA-PSK;2427;WPS;;24
Cris_int;d8:5d:4c:d1:34:18;WPA-PSK;2437;;;28
Mello;00:1a:3f:85:9f:3a;WPA-PSK;2462;;;24
Oi WiFi Fon;cc:03:fa:2e:07:6d;;2412;;;26
Everton_net;c8:3a:35:1c:4c:08;WPA-PSK;2417;;;20
Briana_Int;c4:6e:1f:e5:44:5c;WPA-PSK;2432;WPS;;28
Wenceslau_Int;90:f6:52:b5:a9:72;WPA-PSK;2427;WPS;;20
AVIVAH;82:93:ea:fe:ac:70;WPA-PSK;2462;WPS;;37
Oi WiFi Fon;80:29:94:2c:d6:52;;2462;;;28
Oi WiFi Fon;00:18:e7:a0:89:6b;;2412;;;42
ligia;e8:de:27:d3:dd:e8;WPA-PSK;2437;WPS;;28
Kero Presentes 2;14:cc:20:b8:77:b4;WPA-PSK;2412;WPS;;20
Oi WiFi Fon;72:84:b0:a1:32:09;;2412;;;40
centraldeclinicarandar03;64:70:02:6d:0c:a6;WPA-PSK;2422;WPS;;35
Oi WiFi Fon;62:84:b0:96:20:ef;;2462;;;31
Consultorio odontologico;00:1a:3f:c0:87:ae;WPA-PSK;2412;WPS;;28
Brum.r;02:59:ef:03:04:69;WPA-PSK;2412;;;53
For_men;64:66:b3:c1:c7:1a;WPA-PSK;2432;;;22
Jet router;00:0c:42:61:30:4f;WPA-PSK;2462;;;35
Maiquel_Int;d8:5d:4c:f3:04:00;WPA-PSK;2417;WPS;;24
FERNANDA;10:fe:ed:8e:10:6c;WPA-PSK;2462;WPS;;26
CASA;90:f6:52:a3:34:ac;WPA-PSK;2412;WPS;;20
Oi WiFi Fon;cc:03:fa:2e:03:ef;;2462;;;22
HP-Print-5F-Officejet Pro 8620;fc:15:b4:af:59:5f;;2462;;;28
Oi WiFi Fon;80:29:94:2d:67:4e;;2452;;;40
Oi WiFi Fon;08:95:2a:65:f7:fc;;2412;;;33
Oi WiFi Fon;cc:03:fa:2e:4c:61;;2462;;;26
Jontex;e2:4f:5d:2e:a6:3c;WPA-PSK;2462;WPS;;22
Oi WiFi Fon;e0:88:5d:01:a0:59;;2462;;;24
Maria_Int;00:18:e7:48:87:66;WPA-PSK;2427;;;20
Eden_Int;c4:e9:84:bd:54:2e;WPA-PSK;2452;WPS;;24
AP;58:10:8c:08:83:da;WPA-PSK;2437;;;37
VITRINY;00:02:72:76:07:83;WPA-PSK;2462;;;33
Genaro_Int;e8:94:f6:d8:7c:66;WPA-PSK;2432;WPS;;22
MatheusSF_Int;30:b5:c2:da:da:1e;WPA-PSK;2422;WPS;;37
Casa_Int;c4:e9:84:d4:a0:6c;WPA-PSK;2422;WPS;;37
Vilson_Int;c4:e9:84:b2:20:d6;WPA-PSK;2452;WPS;;35
FRESCALLE1;18:17:25:09:b8:aa;WPA-PSK;2462;;;28
Oi WiFi Fon;58:23:8c:98:7e:33;;2412;;;20
OTICAPONTUAL 1;5a:49:d2:97:6d:f7;WPA-PSK;2412;;;26
Sensual_Int;64:66:b3:ec:fa:d2;WPA-PSK;2427;WPS;;37
wircasa;90:f6:52:4e:0c:cc;WEP;2462;WPS;;22
rodrigo_int;74:ea:3a:b8:d0:54;WPA-PSK;2462;WPS;;17
SULLAB;c4:6e:1f:e5:01:de;WPA-PSK;2412;WPS;;46
Koka_Int;10:fe:ed:92:24:32;WPA-PSK;2432;WPS;;42
Anderson;58:10:8c:ab:c3:aa;WPA-PSK;2462;;;22
ChiliJeans;94:44:52:51:8c:f4;WPA-PSK;2412;WPS;;24
Kerpel_Int;d8:5d:4c:f2:e9:5c;WPA-PSK;2432;WPS;;51
Larissa_Int;c0:4a:00:7d:b5:54;WPA-PSK;2452;WPS;;31
Kamal-Casa;00:0a:eb:41:f9:7d;WPA-PSK;2462;WPS;;26
Fharmac;00:18:e7:9b:30:c6;WPA-PSK;2412;;;66
VACARI;90:8d:78:bd:5e:2d;WPA-PSK;2462;;;33
Oi WiFi Fon;00:18:e7:9b:30:c7;;2412;;;64
RTK 11n AP;80:3f:5d:81:96:c1;;2462;WPS;;24
Raggin;00:18:e7:aa:26:fc;WPA-PSK;2412;;;33
CacauShow;c4:e9:84:a7:83:76;WPA-PSK;2447;WPS;;31
Principal;00:1a:3f:d3:67:e2;WPA-PSK;2437;;;17
Santiagonet_Int;d8:5d:4c:f2:e7:f4;WEP;2417;WPS;;55
Oi WiFi Fon;00:18:e7:aa:26:fd;;2412;;;40
Venancio;c4:e9:84:41:ab:88;WPA-PSK;2437;;;40
SKATE_ROCK_CLUB;74:ea:3a:bc:ea:dc;WEP;2432;WPS;;33
Fashion10;00:1a:3f:86:44:74;WPA-PSK;2462;;;24
Sergio_Int;10:fe:ed:0e:f1:b8;WPA-PSK;2432;WPS;;26
Casa Jose;00:1a:3f:85:9e:20;WPA-PSK;2462;;;24
29Cpers_Int;c4:e9:84:c5:c1:a2;WPA-PSK;2422;WPS;;40
Imobiliaria_Internet;90:f6:52:c2:d8:ea;WPA-PSK;2417;WPS;;33
Rosanaw;e8:de:27:81:2b:84;WPA-PSK;2432;WPS;;22
PROFESSIONAL;00:1a:70:e4:ea:83;WEP;2427;;;31
Sulimar_Int;c4:e9:84:bd:92:62;WPA-PSK;2452;WPS;;46
Sonia_int;e8:94:f6:94:20:7c;WPA-PSK;2427;WPS;;24
Jean_Int;c8:3a:35:5a:17:48;WPA-PSK;2447;;;20
Douglas_Int;30:b5:c2:d5:19:06;WPA-PSK;2437;WPS;;20
Vanessa;30:b5:c2:cc:47:40;WPA-PSK;2417;WPS;;42
Oi WiFi Fon;72:10:d4:c6:44:15;;2462;;;31
Marielle Gonçalves Cabeleireiro;ce:c6:30:da:0f:1c;WPA-PSK;2412;WPS;;24
Quarto JV;a0:f3:c1:e5:11:52;WPA-PSK;2462;WPS;;40
Munira_Int;64:70:02:68:94:26;WPA-PSK;2427;WPS;;22
claudio;a0:f3:c1:cb:07:e1;WPA-PSK;2412;WPS;;53
Joao_Int;00:1a:ef:12:cd:33;WPA-PSK;2447;WPS;;20
HP-Print-7D-LaserJet 1102;9c:d2:1e:e8:7a:7d;;2437;;;22
Vera;90:f6:52:d3:b2:16;WPA-PSK;2427;WPS;;35
Andrade_tenis;5a:5d:c1:14:97:79;WPA-PSK;2462;WPS;;33
Oi WiFi Fon;58:23:8c:98:99:d9;;2462;;;31
dlink;6c:19:8f:bc:98:0a;WPA-PSK;2412;WPS;;57
ANDRADE TENIS;00:1a:3f:53:ea:54;WPA-PSK;2462;;;20
ANDRADE TENIS 2;68:1a:b2:68:4e:a4;WPA-PSK;2447;;;20
HD_eletronicos;8c:10:d4:c6:44:14;WPA-PSK;2462;WPS;;48
Barriga verde;b2:31:88:a1:a5:f5;WPA-PSK;2412;WPS;;55
TopMais;30:b5:c2:af:be:b2;WPA-PSK;2412;WPS;;37
Malhas Darc;8c:10:d4:21:0b:f1;WPA-PSK;2462;WPS;;31
Oi WiFi Fon;b0:c2:87:a8:eb:3c;;2412;;;53
HP869BFE;02:2c:6c:df:b5:da;;2457;;;33
Oi WiFi Fon;72:64:d9:b0:6a:21;;2462;;;24
luiza bjux;54:64:d9:b0:6a:20;WPA-PSK;2462;WPS;;22
Oi WiFi Fon;62:10:d4:21:0b:f2;;2462;;;22
Kaza10;64:66:b3:38:76:78;WPA-PSK;2437;WPS;;22
Salete_Int;54:e6:fc:ee:88:82;WPA-PSK;2427;WPS;;31
